16.5986 4.9337 17.7025	-2.42444 20.7036 86.5526
18.6245 6.85927 17.6213	-8.1408 39.3618 4.48745
16.6052 8.83634 17.614	-104.809 -19.0451 114.866
18.6723 10.7257 17.6296	25.813 69.4143 -104.785
20.5696 0.994116 17.6907	53.082 -17.3917 2.97529
22.5491 2.95558 17.7154	66.5224 -40.7295 -4.13616
20.6328 4.88421 17.6784	7.93366 -87.0214 -127.19
22.5201 6.84145 17.7342	134.114 3.02802 53.4705
20.5877 8.78571 17.6389	-0.636765 -97.5826 -1.76473
22.4796 10.7378 17.6842	-108.269 -129.284 -48.5889
12.7482 2.93459 19.6765	79.1541 -3.75189 20.4602
14.6778 0.920572 19.6611	-114.909 -86.4047 -54.2498
12.678 6.89571 19.5929	14.367 -145.45 64.5239
14.6736 4.93538 19.644	-155.931 65.8828 -188.548
12.7362 10.8471 19.6009	-72.3947 7.78319 -199.872
14.677 8.80412 19.5985	-106.856 -52.3051 -45.1249
16.6259 2.96483 19.6951	25.47 125.042 42.6043
18.5575 0.999238 19.66	38.0793 -69.7535 28.5505
16.6538 6.87273 19.5698	25.3317 -232.628 66.9176
18.5684 4.9176 19.6102	4.78255 -29.4843 -71.5901
16.5781 10.7696 19.4996	-24.0265 139.376 59.878
18.5722 8.78461 19.5789	-26.6898 -58.6054 -57.1909
20.5086 2.90921 19.6934	-95.3606 -180.749 51.845
22.4788 1.0373 19.6547	-73.2398 -70.4893 177.67
20.6242 6.82794 19.6217	-113.178 -21.7776 -127.474
22.5493 4.9036 19.7469	-39.5289 41.8476 -17.5929
20.5359 10.7626 19.618	81.5873 -72.8673 42.7619
22.5209 8.81735 19.648	-140.016 41.9929 -109.005
12.7258 0.9337 21.5857	47.0342 -29.3518 66.2214
14.6538 2.98537 21.5848	-25.087 -107.135 28.3766
12.7169 4.92187 21.5762	-39.9345 -76.046 101.225
14.6146 6.87802 21.563	31.1603 -125.702 -102.612
12.7131 8.85598 21.5233	-83.0589 -33.0668 -30.33
14.6512 10.8271 21.5945	-76.6185 -146.031 112.195
16.6258 1.01363 21.6388	3.2243 -24.7324 -44.8223
18.5531 3.0074 21.7179	84.0424 -185.532 -77.0288
16.5958 4.9579 21.6461	31.7686 74.8587 -34.9621
18.5688 6.85669 21.5386	-38.6359 106.307 92.2926
16.5865 8.8649 21.5688	144.502 -19.0563 5.36559
18.5248 10.7904 21.5027	53.5426 30.8821 111.855
20.4263 0.932599 21.6925	-61.8675 -8.98073 177.268
22.4802 2.87946 21.6726	-10.9377 28.7868 66.1732
20.5426 4.8895 21.6358	-49.9176 -145.158 -153.411
22.5466 6.92441 21.6196	-95.3276 -65.8157 -11.3086
20.4889 8.79101 21.5348	63.5689 39.8697 -3.40304
22.4435 10.7646 21.6829	54.2328 19.2168 -115.757
12.7076 12.774 13.6878	-1.27244 69.1267 -101.427
14.7133 14.6966 13.6771	62.4115 -22.1831 3.3841
12.7564 16.6986 13.7417	15.8485 -108.884 -13.8905
14.6319 18.6918 13.6817	71.2281 -157.723 120.633
